Episode-to-Step Mapping (from periodic checkpoint data)
==========================================================

Seed 1:
     Episode   Global Step
  ----------  ------------
         292         50000
         566        100000
         827        150000
        1092        200000
        1353        250000
        1623        300000
        1901        350000
        2177        400000
        2444        450000
        2709        500000
        2971        550000
        3229        600000
        3482        650000
        3724        700000
        3952        750000
        4181        800000
        4403        850000
        4624        900000
        4845        950000
        5064       1000000
        5284       1050000
        5508       1100000
        5720       1150000
        5935       1200000
        6153       1250000
        6367       1300000
        6580       1350000
        6788       1400000
        6988       1450000
        7192       1500000
        7400       1550000
        7610       1600000
        7816       1650000
        8021       1700000
        8227       1750000
        8431       1800000
        8642       1850000
        8843       1900000
        9051       1950000
        9252       2000000
        9457       2050000
        9664       2100000
        9872       2150000
       10071       2200000
       10269       2250000
       10470       2300000
       10676       2350000
       10871       2400000
       11071       2450000
       11261       2500000
       11459       2550000
       11653       2600000
       11840       2650000
       12033       2700000
       12230       2750000
       12431       2800000
       12628       2850000
       12824       2900000
       13018       2950000
       13211       3000000

Seed 2:
     Episode   Global Step
  ----------  ------------
         294         50000
         572        100000
         836        150000
        1110        200000
        1389        250000
        1656        300000
        1923        350000
        2184        400000
        2439        450000
        2697        500000
        2957        550000
        3201        600000
        3449        650000
        3676        700000
        3908        750000
        4125        800000
        4341        850000
        4564        900000
        4785        950000
        5002       1000000
        5222       1050000
        5445       1100000
        5652       1150000
        5858       1200000
        6066       1250000
        6275       1300000
        6492       1350000
        6704       1400000
        6913       1450000
        7121       1500000
        7331       1550000
        7545       1600000
        7750       1650000
        7956       1700000
        8172       1750000
        8374       1800000
        8578       1850000
        8792       1900000
        9001       1950000
        9215       2000000
        9420       2050000
        9642       2100000
        9870       2150000
       10087       2200000
       10316       2250000
       10541       2300000
       10763       2350000
       10998       2400000
       11220       2450000
       11443       2500000
       11669       2550000
       11881       2600000
       12087       2650000
       12284       2700000
       12503       2750000
       12701       2800000
       12908       2850000
       13118       2900000
       13326       2950000
       13532       3000000

Mean step at every 5 000 episodes (averaged across seeds):
     Episode     Mean Step  N Seeds
  ----------  ------------  -------
        5000        992464        2
       10000       2181057        2
